Year;Date;Cod;Product;Sales;Qnt
2009;01/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;64.53;27
2009;02/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;90.82;38
2009;03/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;71.7;30
2009;04/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;145.79;61
2009;05/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;26.29;11
2009;06/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;83.65;35
2009;07/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;143.4;60
2009;08/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;57.36;24
2009;09/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;74.09;31
2009;10/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;130.03;57
2009;11/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;89.79;41
2009;12/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;67.89;31
2009;13/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;164.25;75
2009;14/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;105.12;48
2009;15/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;56.94;26
2009;16/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;57.36;24
2009;17/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;45.41;19
2009;18/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;76.48;32
2009;19/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;38.24;16
2009;20/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;23.9;10
2009;21/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;31.07;13
2009;22/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;33.46;14
2009;23/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;54.97;23
2009;24/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;47.8;20
2009;25/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;135.16;62
2009;26/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;65.4;30
2009;27/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;74.09;31
2009;28/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;76.48;32
2009;29/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;153.3;70
2009;30/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;205.86;94
2009;31/07/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;98.55;45
2009;01/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;216.81;99
2009;02/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;98.55;45
2009;03/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;120.45;55
2009;04/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;179.58;82
2009;05/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;136.23;57
2009;06/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;124.28;52
2009;07/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;40.63;17
2009;08/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;93.21;39
2009;09/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;19.12;8
2009;10/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;64.53;27
2009;11/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;50.19;21
2009;12/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;43.02;18
2009;13/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;90.82;38
2009;14/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;45.41;19
2009;15/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;74.09;31
2009;16/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;35.85;15
2009;17/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;74.09;31
2009;18/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;38.24;16
2009;19/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;26.29;11
2009;20/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;57.36;24
2009;21/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;167.3;70
2009;22/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;63.51;29
2009;27/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;56.68;26
2009;28/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;313.92;144
2009;29/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;433.82;199
2009;30/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;85.02;39
2009;31/08/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;276.86;127
2009;01/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;139.52;64
2009;02/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;281.22;129
2009;03/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;255.06;117
2009;04/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;296.48;136
2009;05/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;246.34;113
2009;06/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;122.08;56
2009;07/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;212.85;99
2009;08/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;224.54;103
2009;09/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;174.4;80
2009;10/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;141.7;65
2009;11/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;231.08;106
2009;12/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;235.44;108
2009;13/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;128.62;59
2009;14/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;100.28;46
2009;15/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;135.16;62
2009;16/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;130.8;60
2009;17/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;78.87;33
2009;18/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;93.21;39
2009;19/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;148.2;65
2009;20/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;41.04;18
2009;21/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;111.72;49
2009;22/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;105.16;44
2009;23/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;66.92;28
2009;24/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;54.97;23
2009;25/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;71.7;30
2009;26/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;97.99;41
2009;27/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;23.9;10
2009;28/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;105.16;44
2009;29/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;69.31;29
2009;30/09/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;157.68;72
2009;01/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;199.29;91
2009;02/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;280.32;128
2009;03/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;267.18;122
2009;04/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;118.26;54
2009;05/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;157.74;66
2009;06/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;66.92;28
2009;07/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;168.63;77
2009;08/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;162.06;74
2009;09/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;219;100
2009;10/10/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;118.26;54
